timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1714002558581,97,Home,200,,Linear - 100 5-100,text,true,,9118,209,1,1,97,0,44
1714002558679,98,Login,200,,Linear - 100 5-100,text,true,,10114,214,1,1,93,0,0
1714002558777,235,List Products,200,,Linear - 100 5-100,text,true,,105228,235,1,1,60,0,0
1714002559012,217,Look at Product,200,,Linear - 100 5-100,text,true,,104696,223,1,1,92,0,0
1714002559229,174,List Products with different page,200,,Linear - 100 5-100,text,true,,102963,235,1,1,58,0,0
1714002559403,100,Add Product to Cart,200,,Linear - 100 5-100,text,true,,9792,213,1,1,99,0,0
1714002559503,100,Add Product 2 to Cart,200,,Linear - 100 5-100,text,true,,9792,213,1,1,100,0,0
1714002559603,92,Logout,200,,Linear - 100 5-100,text,true,,9118,209,1,1,92,0,0
1714002559695,92,Home,200,,Linear - 100 5-100,text,true,,9118,209,1,1,91,0,42
1714002559787,106,Login,200,,Linear - 100 5-100,text,true,,10114,214,1,1,101,0,0
1714002559893,329,List Products,200,,Linear - 100 5-100,text,true,,151559,235,1,1,64,0,0
1714002560380,98,Home,200,,Linear - 100 5-99,text,true,,9118,209,2,2,98,0,36
1714002560222,323,Look at Product,200,,Linear - 100 5-100,text,true,,153144,223,2,2,102,0,0
1714002560478,107,Login,200,,Linear - 100 5-99,text,true,,9118,209,2,2,104,0,0
1714002560545,216,List Products with different page,200,,Linear - 100 5-100,text,true,,151113,235,2,2,62,0,0
1714002560585,260,List Products,200,,Linear - 100 5-99,text,true,,97994,235,2,2,85,0,0
1714002560761,109,Add Product to Cart,200,,Linear - 100 5-100,text,true,,9792,213,2,2,109,0,0
1714002560870,108,Add Product 2 to Cart,200,,Linear - 100 5-100,text,true,,9792,213,2,2,108,0,0
1714002560846,202,Look at Product,200,,Linear - 100 5-99,text,true,,106182,222,2,2,69,0,0
1714002560978,92,Logout,200,,Linear - 100 5-100,text,true,,9118,209,2,2,92,0,0
1714002561070,100,Home,200,,Linear - 100 5-100,text,true,,9118,209,2,2,100,0,50
1714002561048,202,List Products with different page,200,,Linear - 100 5-99,text,true,,97994,235,2,2,65,0,0
1714002561171,99,Login,200,,Linear - 100 5-100,text,true,,10114,214,2,2,99,0,0
1714002561250,98,Add Product to Cart,200,,Linear - 100 5-99,text,true,,9792,213,2,2,98,0,0
1714002561348,97,Add Product 2 to Cart,200,,Linear - 100 5-99,text,true,,9792,213,2,2,97,0,0
1714002561270,200,List Products,200,,Linear - 100 5-100,text,true,,97994,235,2,2,59,0,0
1714002561445,92,Logout,200,,Linear - 100 5-99,text,true,,9118,209,2,2,92,0,0
1714002561537,100,Home,200,,Linear - 100 5-99,text,true,,9118,209,2,2,100,0,45
1714002561470,192,Look at Product,200,,Linear - 100 5-100,text,true,,104773,221,2,2,76,0,0
1714002561637,108,Login,200,,Linear - 100 5-99,text,true,,9118,209,2,2,108,0,0
1714002561662,183,List Products with different page,200,,Linear - 100 5-100,text,true,,104021,235,2,2,66,0,0
1714002561845,93,Add Product to Cart,200,,Linear - 100 5-100,text,true,,9792,213,2,2,93,0,0
