timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1714001596792,191,Home,200,,Spike - 50 1-10,text,true,,9118,209,1,1,191,0,117
1714001596983,99,Login,200,,Spike - 50 1-10,text,true,,9118,209,1,1,99,0,0
1714001597082,207,List Products,200,,Spike - 50 1-10,text,true,,97994,235,1,1,65,0,0
1714001597293,107,Home,200,,Spike - 50 1-9,text,true,,9118,209,2,2,107,0,46
1714001597400,110,Login,200,,Spike - 50 1-9,text,true,,9118,209,2,2,110,0,0
1714001597289,245,Look at Product,200,,Spike - 50 1-10,text,true,,104416,222,2,2,126,0,0
1714001597534,167,List Products with different page,200,,Spike - 50 1-10,text,true,,104328,235,2,2,65,0,0
1714001597510,224,List Products,200,,Spike - 50 1-9,text,true,,112658,235,2,2,71,0,0
1714001597701,80,Add Product to Cart,200,,Spike - 50 1-10,text,true,,9792,213,2,2,80,0,0
1714001597782,103,Add Product 2 to Cart,200,,Spike - 50 1-10,text,true,,9792,213,3,3,103,0,0
1714001597792,94,Home,200,,Spike - 50 1-8,text,true,,9118,209,3,3,93,0,39
1714001597734,198,Look at Product,200,,Spike - 50 1-9,text,true,,106913,223,3,3,73,0,0
1714001597885,96,Logout,200,,Spike - 50 1-10,text,true,,9118,209,3,3,96,0,0
1714001597886,120,Login,200,,Spike - 50 1-8,text,true,,9118,209,3,3,120,0,0
1714001597981,93,Home,200,,Spike - 50 1-10,text,true,,9118,209,3,3,93,0,40
1714001597932,193,List Products with different page,200,,Spike - 50 1-9,text,true,,111860,235,3,3,74,0,0
1714001598074,106,Login,200,,Spike - 50 1-10,text,true,,9118,209,3,3,106,0,0
1714001598125,104,Add Product to Cart,200,,Spike - 50 1-9,text,true,,9792,213,3,3,101,0,0
1714001598006,244,List Products,200,,Spike - 50 1-8,text,true,,123956,235,3,3,69,0,0
1714001598229,117,Add Product 2 to Cart,200,,Spike - 50 1-9,text,true,,9792,213,4,4,113,0,0
1714001598180,218,List Products,200,,Spike - 50 1-10,text,true,,112658,235,4,4,69,0,0
1714001598292,109,Home,200,,Spike - 50 1-7,text,true,,9118,209,4,4,109,0,46
1714001598346,97,Logout,200,,Spike - 50 1-9,text,true,,9118,209,4,4,97,0,0
1714001598250,248,Look at Product,200,,Spike - 50 1-8,text,true,,121805,223,4,4,118,0,0
1714001598401,112,Login,200,,Spike - 50 1-7,text,true,,9118,209,4,4,112,0,0
1714001598443,92,Home,200,,Spike - 50 1-9,text,true,,9118,209,4,4,92,0,37
1714001598398,216,Look at Product,200,,Spike - 50 1-10,text,true,,106876,223,4,4,76,0,0
1714001598535,128,Login,200,,Spike - 50 1-9,text,true,,9118,209,4,4,128,0,0
1714001598498,223,List Products with different page,200,,Spike - 50 1-8,text,true,,121519,235,4,4,101,0,0
1714001598513,259,List Products,200,,Spike - 50 1-7,text,true,,112658,235,4,4,80,0,0
1714001598614,175,List Products with different page,200,,Spike - 50 1-10,text,true,,111860,235,4,4,53,0,0
1714001598722,107,Add Product to Cart,200,,Spike - 50 1-8,text,true,,9792,213,5,5,107,0,0
1714001598663,210,List Products,200,,Spike - 50 1-9,text,true,,97994,235,5,5,76,0,0
1714001598793,103,Home,200,,Spike - 50 1-6,text,true,,9118,209,5,5,103,0,39
1714001598790,107,Add Product to Cart,200,,Spike - 50 1-10,text,true,,9792,213,5,5,107,0,0
1714001598772,194,Look at Product,200,,Spike - 50 1-7,text,true,,106859,223,5,5,68,0,0
