timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1714002326561,93,Add Product to Cart,200,,Linear - 50 4-50,text,true,,9792,213,2,2,93,0,0
1714002326654,91,Add Product 2 to Cart,200,,Linear - 50 4-50,text,true,,9792,213,2,2,91,0,0
1714002326610,185,List Products with different page,200,,Linear - 50 4-49,text,true,,121519,235,2,2,60,0,0
1714002326745,92,Logout,200,,Linear - 50 4-50,text,true,,9118,209,2,2,92,0,0
1714002326795,125,Add Product to Cart,200,,Linear - 50 4-49,text,true,,9792,213,2,2,125,0,0
1714002326838,90,Home,200,,Linear - 50 4-50,text,true,,9118,209,2,2,90,0,38
1714002326920,99,Add Product 2 to Cart,200,,Linear - 50 4-49,text,true,,9792,213,2,2,99,0,0
1714002326928,101,Login,200,,Linear - 50 4-50,text,true,,9118,209,2,2,101,0,0
1714002327019,85,Logout,200,,Linear - 50 4-49,text,true,,9118,209,2,2,85,0,0
1714002327104,102,Home,200,,Linear - 50 4-49,text,true,,9118,209,2,2,102,0,40
1714002327029,218,List Products,200,,Linear - 50 4-50,text,true,,112658,235,2,2,60,0,0
1714002327206,122,Login,200,,Linear - 50 4-49,text,true,,9118,209,2,2,122,0,0
1714002327248,206,Look at Product,200,,Linear - 50 4-50,text,true,,109921,223,2,2,75,0,0
1714002327462,93,Home,200,,Linear - 50 4-48,text,true,,9118,209,3,3,93,0,39
1714002327328,234,List Products,200,,Linear - 50 4-49,text,true,,112658,235,3,3,59,0,0
1714002327454,200,List Products with different page,200,,Linear - 50 4-50,text,true,,112658,235,3,3,76,0,0
1714002327555,127,Login,200,,Linear - 50 4-48,text,true,,9118,209,3,3,127,0,0
1714002327654,110,Add Product to Cart,200,,Linear - 50 4-50,text,true,,9792,213,3,3,109,0,0
1714002327562,206,Look at Product,200,,Linear - 50 4-49,text,true,,106876,223,3,3,73,0,0
1714002327764,96,Add Product 2 to Cart,200,,Linear - 50 4-50,text,true,,9792,213,3,3,96,0,0
1714002327683,247,List Products,200,,Linear - 50 4-48,text,true,,112658,235,3,3,65,0,0
1714002327768,186,List Products with different page,200,,Linear - 50 4-49,text,true,,111802,235,3,3,60,0,0
1714002327859,117,Logout,200,,Linear - 50 4-50,text,true,,9118,209,3,3,117,0,0
1714002327953,92,Add Product to Cart,200,,Linear - 50 4-49,text,true,,9792,213,3,3,92,0,0
1714002327976,93,Home,200,,Linear - 50 4-50,text,true,,9118,209,3,3,93,0,41
1714002327930,214,Look at Product,200,,Linear - 50 4-48,text,true,,105827,223,3,3,72,0,0
1714002328045,108,Add Product 2 to Cart,200,,Linear - 50 4-49,text,true,,9792,213,3,3,108,0,0
1714002328069,106,Login,200,,Linear - 50 4-50,text,true,,9118,209,3,3,106,0,0
1714002328153,89,Logout,200,,Linear - 50 4-49,text,true,,9118,209,3,3,89,0,0
1714002328242,103,Home,200,,Linear - 50 4-49,text,true,,9118,209,3,3,103,0,50
1714002328144,201,List Products with different page,200,,Linear - 50 4-48,text,true,,110494,235,3,3,69,0,0
